,data_name,stage,model,score,data_f1_mean,data_f1_stde,kb_f1_mean,kb_f1_stde,bal_f1_mean,bal_f1_stde
0,norman,init,GNN,neural,0.2228717022276072,0.004638198420355399,0.2873413365302892,0.01061893069805897,0.2497915508196027,0.0025979912936858335
1,norman,data_only,GNN,neural,0.5833603477316379,0.0014503015302019806,0.3023277627543599,0.008892728328202482,0.3795185546505341,0.008853569050938537
2,norman,ABL1_refl,GNN,neural,0.5400594234736256,0.001372225841019259,0.3454896146050649,0.005730426336013922,0.4112556016545319,0.004846829408526043
3,norman,ABL1_refine,GNN,neural,0.5400594234736256,0.001372225841019259,0.63806474799656,0.01160417148763665,0.5823842830215751,0.004134032044818048
4,norman,ABL2_refl,GNN,neural,0.5358343156845866,0.0038584331648869874,0.63806474799656,0.01160417148763665,0.5823842830215751,0.004134032044818048
5,norman,ABL2_refine,GNN,neural,0.5358343156845866,0.0038584331648869874,0.6423378075183745,0.01163674744608234,0.5840005598460276,0.004092540416339718
6,norman,init,GNN,integrated,0.227387814660982,0.005366481547789986,0.32591650174701786,0.013075948842393492,0.264665337434838,0.0036698536063779763
7,norman,data_only,GNN,integrated,0.5385814241105955,0.0016726969327521823,0.38202463103935347,0.010869164809642257,0.44009526389853193,0.008325152244653078
8,norman,ABL1_refl,GNN,integrated,0.5153529142473424,0.01625836817465523,0.41327532870732714,0.03664189634348969,0.45360794463709986,0.018989670066561493
9,norman,ABL1_refine,GNN,integrated,0.5269877589500874,0.002348605058150488,0.6555222708923873,0.0020582748713432464,0.5809261777419853,0.0021526925728010404
10,norman,ABL2_refl,GNN,integrated,0.5261415562530501,0.0031948077551877674,0.6559092956144617,0.002445299593417549,0.5809261777419853,0.0021526925728010404
11,norman,ABL2_refine,GNN,integrated,0.5260732485352781,0.003321090422470696,0.6595661982308263,0.0019009562576950967,0.5820468891116084,0.0024762474054730865
12,norman,init,MLP,neural,0.22242346730425328,0.006765736978873199,0.2876420364204164,0.009492043050053828,0.2502259692738704,0.0064203704467119815
13,norman,data_only,MLP,neural,0.5804186019065727,0.003401601042851088,0.2983330558751257,0.0049753249963082335,0.3754388307128643,0.00520064710183421
14,norman,ABL1_refl,MLP,neural,0.5381779298172883,0.001405220429097076,0.34128912022700714,0.005246235604313809,0.4074432221447987,0.004449058965643127
15,norman,ABL1_refine,MLP,neural,0.5381779298172883,0.001405220429097076,0.6432319553955335,0.006143106090165218,0.5833277166558439,0.0020672848743602534
16,norman,ABL2_refl,MLP,neural,0.5303534657105605,0.004377343048572846,0.6444255289423029,0.006752566790913239,0.5796333748616651,0.001765852064795237
17,norman,ABL2_refine,MLP,neural,0.5303534657105605,0.004377343048572846,0.6508064295452387,0.005541342557394191,0.581096054370593,0.0021298100212081006
18,norman,init,MLP,integrated,0.22813730804317406,0.006878046350615813,0.3271849752360301,0.01068946253197775,0.2664812424714029,0.006024312661133874
19,norman,data_only,MLP,integrated,0.536021140854411,0.0019030648162388086,0.3767328619902752,0.006299692222738934,0.4358651245459254,0.005390734849073625
20,norman,ABL1_refl,MLP,integrated,0.5039705503107728,0.010558856396074706,0.43068717983377897,0.019748579850597192,0.46191443901578133,0.009746992025605694
21,norman,ABL1_refine,MLP,integrated,0.5252338100193457,0.004153490823341099,0.6548510560352163,0.004392363917186393,0.5796588079381255,0.0015305592846688865
22,norman,ABL2_refl,MLP,integrated,0.5246208969442216,0.004708253592463352,0.6528407454787195,0.00643632635697422,0.5781139033195155,0.001059616255932594
23,norman,ABL2_refine,MLP,integrated,0.5247852083867101,0.004623575256190948,0.6572751778500224,0.0045141054849719975,0.5799226786327762,0.001569739075318266
24,dixit,init,GNN,neural,0.2772453257114645,0.0022210695036675165,0.2650231650075807,0.005019309962642243,0.2708879260635632,0.003228229487208467
25,dixit,data_only,GNN,neural,0.5006590376749981,0.008473508383811529,0.27622523445787683,0.006110066398523378,0.3420346055923026,0.007151186796704595
26,dixit,ABL1_refl,GNN,neural,0.4692036188813065,0.003463451669303952,0.3759573420064526,0.006501623210444035,0.4148004012112475,0.0032006139235951914
27,dixit,ABL1_refine,GNN,neural,0.4692036188813065,0.003463451669303952,0.6318917461968011,0.01184275100423604,0.5315965974479613,0.003564037304113643
28,dixit,ABL2_refl,GNN,neural,0.46835826978821193,0.004308800762398507,0.6325259545108317,0.012476959318266645,0.5315965974479613,0.003564037304113643
29,dixit,ABL2_refine,GNN,neural,0.46835826978821193,0.004308800762398507,0.6518357769011832,0.0019427439846813055,0.5376278569244879,0.003540895912035269
30,dixit,init,GNN,integrated,0.2805308693351489,0.00237161513163911,0.33672433029945714,0.004431545739337156,0.30467839847513034,0.0030362959572140247
31,dixit,data_only,GNN,integrated,0.45085994241308347,0.006767297446893361,0.3807960013079209,0.0032560078078315846,0.41096982000868665,0.004181204313110337
32,dixit,ABL1_refl,GNN,integrated,0.4533522198443692,0.010216208144606886,0.4146858300874951,0.02511289036347253,0.43096284647460403,0.010495059031658871
33,dixit,ABL1_refine,GNN,integrated,0.4585212655433343,0.004800593730869107,0.6366787721374584,0.012158625518099986,0.5249213414282577,0.004794033959143573
34,dixit,ABL2_refl,GNN,integrated,0.4588221573266701,0.004499701947533324,0.6375507915823115,0.013030644962953142,0.5249213414282577,0.004794033959143573
35,dixit,ABL2_refine,GNN,integrated,0.458920264894163,0.00470703824523977,0.6555322205939959,0.0023044239976155456,0.531528236488642,0.004138084571113587
36,dixit,init,MLP,neural,0.2782482978538823,0.0025199146177748155,0.27241853446965114,0.007935629118273974,0.27524553814043984,0.0053154207462565994
37,dixit,data_only,MLP,neural,0.43408527178235856,0.0236606598420456,0.21620560744591447,0.01829969704897072,0.27363210166695223,0.021529296515782892
38,dixit,ABL1_refl,MLP,neural,0.42994646698233474,0.0017915186321355303,0.35338300607245304,0.024424443714118227,0.3853470014225797,0.015755704613538174
39,dixit,ABL1_refine,MLP,neural,0.42994646698233474,0.0017915186321355303,0.6508090141035958,0.00736884667754939,0.5078736241937674,0.002318951614509346
40,dixit,ABL2_refl,MLP,neural,0.4196933479172581,0.0034888729089207204,0.6537760701204129,0.006953881472833323,0.5003811041525319,0.003583958079030225
41,dixit,ABL2_refine,MLP,neural,0.4196933479172581,0.0034888729089207204,0.6593028486882456,0.004114923002932924,0.501229512793251,0.003282919394502065
42,dixit,init,MLP,integrated,0.2819970049401743,0.0022902120455729758,0.35147439774578415,0.013314692106287912,0.31112825112831005,0.0059880915780779476
43,dixit,data_only,MLP,integrated,0.4206918312772754,0.0027734171060493917,0.3929873897597994,0.018424858674198574,0.4062451496477702,0.010365519738010698
44,dixit,ABL1_refl,MLP,integrated,0.41256212930252945,0.0021844140510109966,0.4244990461382986,0.016843158805098207,0.4177077322024564,0.007308586865993505
45,dixit,ABL1_refine,MLP,integrated,0.41883470916405885,0.003926249166351148,0.6591452004638205,0.0035678927314208297,0.5003286036999864,0.0035564733216151556
