gene_idx	locus	test_growth	pred_growth	ground_growth
2933	b2782	0.1975543358610862	1.0	0.3850596842510589
2933	b2782	0.1975543358610862	1.0	0.3850596842510589
2933	b2782	0.3951086717221767	1.0	0.3850596842510589
-1	WT	1.0000000000000977	1.0	1.0
2933	b2782	0.19755433586108617	1.0	0.3850596842510589
2933	b2782	0.3951086717221724	1.0	0.3850596842510589
3181	b3022	0.49550077982727003	1.0	0.0422377563303837
3181	b3022	0.3951086717221722	1.0	0.0422377563303837
3181	b3022	0.3003566130875693	1.0	0.0422377563303837
3181	b3022	0.39510867172217284	1.0	0.0422377563303837
3181	b3022	0.5386286572488409	1.0	0.0422377563303837
2933	b2782	0.3845653632242625	1.0	0.3850596842510589
2933	b2782	0.38456536322426144	1.0	0.3850596842510589
3181	b3022	0.5022886055430832	1.0	0.0422377563303837
-1	WT	1.000000000000047	1.0	1.0
3181	b3022	0.5022886055431834	1.0	0.0422377563303837
115	b0112	0.19755433586105967	1.0	0.1301659616010413
115	b0112	0.1975543358610898	1.0	0.1301659616010413
2621	b2477	0.5386286572488431	1.0	0.4664179104477611
2621	b2477	0.5386286572488413	1.0	0.4664179104477611
605	b0575	0.24775038991359766	1.0	0.1751620248730075
605	b0575	0.19755433586108598	1.0	0.1751620248730075
4008	b3803	0.39510867172217196	1.0	0.3480682213713887
4008	b3803	0.39510867172216524	1.0	0.3480682213713887
1341	b1274	0.4955007798272702	1.0	0.351493848857645
1341	b1274	0.24775038991363546	1.0	0.351493848857645
3833	b3638	0.1975543358610865	1.0	0.3313452617627568
3833	b3638	0.1975543358610327	1.0	0.3313452617627568
3262	b3098	0.39510867172217234	1.0	0.5165289256198348
3262	b3098	0.5248513761345717	1.0	0.5165289256198348
3606	b4451	1.0497027522690536	1.0	1.0
3606	b4451	1.1733701828484806	1.0	1.0
3606	b4451	1.004577211101448	1.0	1.0
2213	b4438	0.7691307264485273	1.0	1.0
2213	b4438	1.1666809286047524	1.0	1.0
2213	b4438	1.1733701828484806	1.0	1.0
2213	b4438	1.1733701828484757	1.0	1.0
2213	b4438	1.0967614400971872	1.0	1.0
2213	b4438	1.0772573144976854	1.0	1.0
3373	b4450	0.769130726448475	1.0	1.0
3373	b4450	0.7691307264485242	1.0	1.0
3373	b4450	0.7691307264485239	1.0	1.0
3373	b4450	0.7691307264484698	1.0	1.0
3373	b4450	0.5248513761345289	1.0	1.0
3373	b4450	0.7691307264472944	1.0	1.0
3373	b4450	0.7691307264485214	1.0	1.0
3373	b4450	0.2741903600242971	1.0	1.0
3373	b4450	0.2741903600242977	1.0	1.0
3373	b4450	0.7691307264485236	1.0	1.0
3373	b4450	0.7691307264485242	1.0	1.0
3373	b4450	0.769130726448522	1.0	1.0
2961	b4443	0.5483807200485988	1.0	1.0
2961	b4443	0.5483807208716328	1.0	1.0
2961	b4443	0.5483807200485932	1.0	1.0
2961	b4443	1.0322794287154808	1.0	1.0
2961	b4443	1.0322794287173842	1.0	1.0
2961	b4443	0.5483807200485953	1.0	1.0
2837	b4442	0.6007132261862764	1.0	1.0
2837	b4442	0.6007132261758205	1.0	1.0
2837	b4442	0.6007132261749863	1.0	1.0
3606	b4451	0.7485180463505542	1.0	1.0
3606	b4451	1.0000000000003428	1.0	1.0
3606	b4451	1.0000000000021803	1.0	1.0
3606	b4451	1.0497027522702023	1.0	1.0
1675	b1574	1.0000000000006704	1.0	1.0
1675	b1574	1.0000000000011964	1.0	1.0
1675	b1574	1.0000000000006115	1.0	1.0
1504	b4597	0.9064466186742347	1.0	1.0
1504	b4597	0.906446618674196	1.0	1.0
1504	b4597	0.9064466186741961	1.0	1.0
