,diff_p1k,diff_sra,weighted_p1k,weighted_sra,comb_p1k,comb_sra
0,0.27338782924613986,0.21138211382113822,0.27338782924613986,0.21138211382113822,0.303654809925437,0.21138211382113822
1,0.27551942186088524,0.44761904761904764,0.27551942186088524,0.44761904761904764,0.28248301095153583,0.44761904761904764
2,0.2797140303842717,0.7211948790896159,0.2797140303842717,0.7211948790896159,0.2857207531452734,0.7211948790896159
3,0.2427802251590798,1.0,0.2427802251590798,1.0,0.2427802251590798,1.0
4,0.29940627650551316,0.18803418803418803,0.29940627650551316,0.18803418803418803,0.29940627650551316,0.18803418803418803
5,0.29419354838709677,0.45098039215686275,0.29419354838709677,0.45098039215686275,0.29419354838709677,0.45098039215686275
6,0.2781516375056079,1.0,0.2781516375056079,1.0,0.2781516375056079,1.0
7,0.2807486631016043,0.3076923076923077,0.2807486631016043,0.3076923076923077,0.3859159908887016,0.13333333333333333
8,0.30080270384452895,0.5055643879173292,0.30080270384452895,0.5055643879173292,0.30080270384452895,0.5055643879173292
9,0.29940627650551316,0.4166666666666667,0.29940627650551316,0.4166666666666667,0.3567934102441577,0.4166666666666667
10,0.25546058879392214,0.3333333333333333,0.25546058879392214,0.3333333333333333,0.25546058879392214,0.3333333333333333
11,0.2781516375056079,0.4909090909090909,0.2781516375056079,0.4909090909090909,0.3171964362523055,0.4909090909090909
12,0.22862923621648965,1.0,0.22862923621648965,1.0,0.24075681156182605,1.0
13,0.23964497041420119,0.4716981132075472,0.23964497041420119,0.4716981132075472,0.27730514252253385,0.4716981132075472
14,0.49709639953542395,1.0,0.49709639953542395,1.0,0.3132924335378323,1.0
15,0.28023203926818385,1.0,0.28023203926818385,1.0,0.2878469354556148,1.0
16,0.28023203926818385,1.0,0.28023203926818385,1.0,0.3037389381897228,1.0
17,0.4976798143851508,1.0,0.4976798143851508,1.0,0.3488132094943241,1.0
18,0.27231329690346084,1.0,0.27231329690346084,1.0,0.27231329690346084,1.0
19,0.2898172323759791,1.0,0.2898172323759791,1.0,0.2898172323759791,1.0
20,0.28634167764602547,0.36363636363636365,0.28634167764602547,0.36363636363636365,0.31383892666520435,0.36363636363636365
21,0.29399048854301774,0.3076923076923077,0.29399048854301774,0.3076923076923077,0.3598164061151949,0.3076923076923077
22,0.3029513888888889,0.15151515151515152,0.3029513888888889,0.15151515151515152,0.3404176904176904,0.15151515151515152
23,0.30583333333333335,0.16216216216216217,0.30583333333333335,0.16216216216216217,0.3447081876131657,0.16216216216216217
24,0.32983274990276157,0.44,0.32983274990276157,0.44,0.4172745358090186,0.44
25,0.3031066330814442,0.2777777777777778,0.3031066330814442,0.2777777777777778,0.35661513268795453,0.2777777777777778
26,0.31247443762781185,0.3076923076923077,0.31247443762781185,0.3076923076923077,0.3669873746600089,0.3076923076923077
27,0.2965811965811966,0.44,0.2965811965811966,0.44,0.3255857679269594,0.44
28,0.26905417814508725,0.44,0.26905417814508725,0.44,0.29271193728175393,0.44
29,0.27338782924613986,0.44,0.27338782924613986,0.44,0.29795199295309405,0.44
30,0.284326710816777,1.0,0.284326710816777,1.0,0.36388648804379137,0.18803418803418803
31,0.2765765765765766,0.48148148148148145,0.2765765765765766,0.48148148148148145,0.28417894369190244,0.48148148148148145
32,0.2776280323450135,0.4716981132075472,0.2776280323450135,0.4716981132075472,0.3025030525030525,0.4716981132075472
33,0.27551942186088524,0.48148148148148145,0.27551942186088524,0.48148148148148145,0.3105177000204624,0.48148148148148145
34,0.2739229024943311,0.48148148148148145,0.2739229024943311,0.48148148148148145,0.2717738258093935,0.48148148148148145
35,0.29846938775510207,0.4909090909090909,0.29846938775510207,0.4909090909090909,0.29799914857386123,0.4909090909090909
36,0.2898172323759791,1.0,0.2898172323759791,1.0,0.28932461873638343,1.0
37,0.30356394129979036,0.17543859649122806,0.30356394129979036,0.17543859649122806,0.32381077710726347,0.17543859649122806
38,0.2970550576184379,0.37777777777777777,0.2970550576184379,0.37777777777777777,0.28600091199270405,0.37777777777777777
39,0.2989384288747346,0.2518518518518518,0.2989384288747346,0.2518518518518518,0.3034013605442177,0.2518518518518518
