bamC1,1,-1,0,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,-1,-1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,-1,0,1,0,-1,0,0,0,1,1,1,1,1,-1,0,0,0,0,0,-1,1,0,0,1,0,1,0,1,1,0,-1,-1,-1,-1,-1,1,0,0,0,0,-1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,-1,1,1,0,1,1,1,1,1,1,0,0,0,-1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,0,-1,1,0,1,0,0,-1,-1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,-1,0,1,1,0,0,-1,0,0,0,-1,1,1,1
bamC2,1,-1,0,0,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,-1,-1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,-1,0,1,0,-1,0,0,0,0,1,1,1,1,-1,0,0,0,0,0,-1,1,0,0,1,0,1,0,0,0,0,-1,-1,-1,-1,-1,1,0,0,0,0,-1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,-1,0,0,0,1,1,0,1,-1,1,0,0,1,1,0,1,1,1,0,0,0,-1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,-1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,-1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,1,1,1,1,-1,0,0,0,-1,0,0,1,0,0,0,1,-1,0,0,0,0,0,1,-1,0,1,1,0,0,-1,0,0,0,-1,1,1,0

yicR1,0,-1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,-1,-1,0,0,0,0,0,1,0,0,0,0,0,1,-1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,-1,-1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,-1,1,0,0
pred0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
prob0,0.84,0.71,1.00,0.92,0.82,0.83,0.70,0.83,0.84,0.84,0.81,0.82,0.83,0.82,0.83,0.81,0.83,0.83,0.85,0.93,0.92,1.00,0.83,0.82,0.87,1.00,0.84,1.00,1.00,1.00,0.83,1.00,0.92,0.84,0.84,0.82,0.92,0.73,0.70,1.00,0.83,0.82,0.82,0.80,0.79,0.81,0.81,1.00,1.00,0.83,1.00,1.00,1.00,0.93,0.82,1.00,0.91,0.93,1.00,0.94,0.83,0.83,0.73,1.00,0.84,1.00,0.74,1.00,1.00,1.00,0.93,0.84,0.82,0.79,0.82,0.73,1.00,1.00,1.00,1.00,1.00,0.73,0.82,1.00,1.00,0.82,1.00,0.83,1.00,0.93,0.92,1.00,0.70,0.72,0.70,0.72,0.71,0.84,1.00,1.00,1.00,1.00,0.72,0.82,1.00,0.83,0.83,0.83,0.83,0.83,0.83,0.83,1.00,0.92,0.83,1.00,1.00,1.00,1.00,1.00,1.00,0.83,1.00,1.00,0.91,1.00,0.84,0.77,0.93,1.00,1.00,0.83,0.84,1.00,0.83,0.72,0.83,0.93,1.00,0.85,0.84,0.93,0.83,0.83,0.82,1.00,1.00,1.00,0.71,1.00,1.00,1.00,1.00,1.00,0.83,0.81,1.00,0.81,0.84,0.95,1.00,0.85,0.84,0.83,0.83,0.83,0.83,1.00,1.00,0.81,0.83,1.00,0.82,1.00,1.00,1.00,0.92,1.00,0.94,1.00,1.00,0.83,0.84,1.00,0.83,1.00,0.90,0.83,0.83,1.00,0.73,0.92,1.00,0.93,1.00,1.00,0.72,0.71,0.91,1.00,1.00,1.00,1.00,0.93,0.81,0.82,0.83,0.83,0.76,1.00,1.00,1.00,0.81,0.94,1.00,0.82,0.92,1.00,1.00,0.83,0.81,1.00,1.00,1.00,1.00,1.00,0.83,0.69,1.00,0.84,0.82,1.00,1.00,0.70,1.00,1.00,1.00,0.74,0.83,0.84,0.92,

yicR2,0,-1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,-1,-1,0,0,0,-1,0,1,0,0,0,0,1,1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,-1,-1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,-1,0,0,0,1,1,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,-1,1,0,0
pred1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
prob1,0.84,0.71,1.00,0.92,0.82,0.83,0.70,0.83,0.84,0.84,0.81,0.82,0.83,0.82,0.83,0.81,0.83,0.83,0.85,0.93,0.92,1.00,0.83,0.82,0.87,1.00,0.84,1.00,1.00,1.00,0.83,1.00,0.92,0.84,0.84,0.82,0.92,0.73,0.70,1.00,0.83,0.82,0.82,0.80,0.79,0.81,0.81,1.00,1.00,0.83,1.00,1.00,1.00,0.93,0.82,1.00,0.91,0.93,1.00,0.94,0.83,0.83,0.73,1.00,0.84,1.00,0.74,1.00,1.00,1.00,0.93,0.84,0.82,0.79,0.82,0.73,1.00,1.00,1.00,1.00,1.00,0.73,0.82,1.00,1.00,0.82,1.00,0.83,1.00,0.93,0.92,1.00,0.70,0.72,0.70,0.72,0.71,0.84,1.00,1.00,1.00,1.00,0.72,0.82,1.00,0.83,0.83,0.83,0.83,0.83,0.83,0.83,1.00,0.92,0.83,1.00,1.00,1.00,1.00,1.00,1.00,0.83,1.00,1.00,0.91,1.00,0.84,0.77,0.93,1.00,1.00,0.83,0.84,1.00,0.83,0.72,0.83,0.93,1.00,0.85,0.84,0.93,0.83,0.83,0.82,1.00,1.00,1.00,0.71,1.00,1.00,1.00,1.00,1.00,0.83,0.81,1.00,0.81,0.84,0.95,1.00,0.85,0.84,0.83,0.83,0.83,0.83,1.00,1.00,0.81,0.83,1.00,0.82,1.00,1.00,1.00,0.92,1.00,0.94,1.00,1.00,0.83,0.84,1.00,0.83,1.00,0.90,0.83,0.83,1.00,0.73,0.92,1.00,0.93,1.00,1.00,0.72,0.71,0.91,1.00,1.00,1.00,1.00,0.93,0.81,0.82,0.83,0.83,0.76,1.00,1.00,1.00,0.81,0.94,1.00,0.82,0.92,1.00,1.00,0.83,0.81,1.00,1.00,1.00,1.00,1.00,0.83,0.69,1.00,0.84,0.82,1.00,1.00,0.70,1.00,1.00,1.00,0.74,0.83,0.84,0.92,
