Group Index,gene_name,init_macro_f1,pretrain_macro_f1,abl1_macro_f1,abl2_macro_f1,abl3_macro_f1,abl4_macro_f1,abl5_macro_f1,init_micro_f1,pretrain_micro_f1,abl1_micro_f1,abl2_micro_f1,abl3_micro_f1,abl4_micro_f1,abl5_micro_f1,init_weighted_f1,pretrain_weighted_f1,abl1_weighted_f1,abl2_weighted_f1,abl3_weighted_f1,abl4_weighted_f1,abl5_weighted_f1,init_class-1_f1,pretrain_class-1_f1,abl1_class-1_f1,abl2_class-1_f1,abl3_class-1_f1,abl4_class-1_f1,abl5_class-1_f1,init_class0_f1,pretrain_class0_f1,abl1_class0_f1,abl2_class0_f1,abl3_class0_f1,abl4_class0_f1,abl5_class0_f1,init_class1_f1,pretrain_class1_f1,abl1_class1_f1,abl2_class1_f1,abl3_class1_f1,abl4_class1_f1,abl5_class1_f1
0,arcZ,0.2623356424427792,0.507291929686108,0.545046575048427,0.582973695530892,0.6097484469879308,0.6853201515689874,0.7075959653654927,0.3258426966292135,0.7011771000535045,0.7455858747993579,0.7877207062600321,0.8037720706260032,0.8180845371856608,0.8239700374531835,0.16102571785449982,0.2959522008895874,0.3427216410636902,0.39293360710144043,0.44659289717674255,0.5939933061599731,0.6365421414375305,0.11378413524057217,0.159846547314578,0.2155688622754491,0.27798507462686567,0.35944700460829493,0.5693430656934306,0.6308724832214765,0.45382262996941897,0.8304093567251462,0.8607783040772732,0.8886484537011992,0.8956390443200994,0.8943955946354027,0.8977181208053692,0.2194001621183464,0.5316198850185999,0.5587925587925588,0.582287558264611,0.5741592920353983,0.5922217943781286,0.5941972920696325
1,cyaR,0.26810140619204365,0.5820155353944918,0.6258923271441641,0.6628963285366498,0.652036333901138,0.616515710076525,0.6237389723932462,0.3507223113964687,0.8167469234884965,0.8448368111289459,0.8657035848047084,0.8571428571428571,0.8378812199036918,0.8440342429106474,0.07367294281721115,0.24111030995845795,0.3318360149860382,0.41039755940437317,0.4076864719390869,0.34218910336494446,0.35021182894706726,0.042994810971089696,0.18181818181818182,0.2819672131147541,0.36909871244635195,0.36909871244635195,0.29818181818181816,0.30604982206405695,0.48341684562157006,0.8965637537066109,0.9118102114492006,0.9258312020460358,0.9222620878182128,0.9120442370831173,0.9151670951156813,0.27789256198347106,0.6676646706586826,0.6838995568685377,0.6937590711175616,0.6647482014388489,0.6393210749646393,0.65
2,gcvB,0.24145598508136448,0.5166021028481491,0.5346985150243132,0.5318164554843762,0.523611673980466,0.5427664085808381,0.5375606673113839,0.34858212948100586,0.7988228999464955,0.8063135366506153,0.803103263777421,0.7961476725521669,0.7878544676297485,0.7808988764044944,0.09891850501298904,0.2873110771179199,0.32071205973625183,0.32195574045181274,0.3082563579082489,0.37213289737701416,0.37870609760284424,0.06720233747260775,0.22153846153846155,0.26440677966101694,0.2698961937716263,0.2523076923076923,0.35079726651480636,0.3705263157894737,0.4944359589788348,0.8908882708980861,0.8952443209674783,0.8924081632653061,0.8880511391575152,0.8824402308326463,0.879655686144678,0.16272965879265092,0.4373795761078998,0.4444444444444444,0.4331450094161959,0.43047619047619046,0.3950617283950617,0.3625
3,micA,0.2863093243674226,0.5175788729921754,0.5712484845261582,0.5733332231383726,0.5755321552696189,0.6077963525835867,0.6421192341985961,0.35098983413590157,0.7538790797217764,0.763509898341359,0.7667201712145533,0.7651150347779562,0.7656500802568218,0.7758159443552702,0.18752780556678772,0.3454102873802185,0.4464598298072815,0.445380836725235,0.447512686252594,0.520941972732544,0.583254337310791,0.13881748071979436,0.2608695652173913,0.4105263157894737,0.40414507772020725,0.40384615384615385,0.5285714285714286,0.618421052631579,0.48595367175948745,0.8661527680448493,0.867064188004209,0.8691687127323746,0.8674188998589563,0.8692857142857143,0.870436649964209,0.23415682062298604,0.4257142857142857,0.43615494978479197,0.44668587896253603,0.4553314121037464,0.425531914893617,0.4375
4,rydC,0.19921613059865426,0.4016328822076511,0.39768616634184956,0.3950077022226414,0.3873496539722132,0.37072672017607106,0.3735856113255324,0.3274478330658106,0.8041733547351525,0.8041733547351525,0.8041733547351525,0.7913322632423756,0.7570893525949706,0.763509898341359,1.2981216102048165,3.3406930555202052,3.22632232041542,3.14593862071888,3.0085196556228766,2.71802780282826,2.748025584864422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4830508474576271,0.8873020800993481,0.8883374689826302,0.8893709327548807,0.8812714241196634,0.8627575277337559,0.8683296495105778,0.1145975443383356,0.31759656652360513,0.30472103004291845,0.2956521739130435,0.28077753779697623,0.24942263279445728,0.2524271844660194
5,ryhB,0.2116916350647171,0.4080829209771511,0.40910912384123427,0.4031902107500665,0.4036020665494349,0.39922815778835535,0.394367083409499,0.3290529695024077,0.7647328594359092,0.7651914698463655,0.7534969043797294,0.7468470534281129,0.7262095849575786,0.722540701673928,0.03586390241980553,0.07669031620025635,0.0812569111585617,0.07647308707237244,0.08437670022249222,0.09276261180639267,0.08774761855602264,0.015414258188824663,0.02973977695167286,0.03524229074889868,0.030534351145038167,0.04040404040404041,0.05240174672489083,0.048,0.48446511627906974,0.8683698972507636,0.8672590946959178,0.859219907731022,0.8550175438596491,0.8444697185100938,0.8438878611071581,0.13519553072625698,0.3261390887290168,0.3248259860788863,0.31981637337413926,0.3153846153846154,0.3008130081300813,0.29121338912133893
