Group Index,gene_name,init_macro_f1,pretrain_macro_f1,abl1_macro_f1,abl2_macro_f1,init_micro_f1,pretrain_micro_f1,abl1_micro_f1,abl2_micro_f1,init_weighted_f1,pretrain_weighted_f1,abl1_weighted_f1,abl2_weighted_f1,init_class-1_f1,pretrain_class-1_f1,abl1_class-1_f1,abl2_class-1_f1,init_class0_f1,pretrain_class0_f1,abl1_class0_f1,abl2_class0_f1,init_class1_f1,pretrain_class1_f1,abl1_class1_f1,abl2_class1_f1
0,MazF,     0.2484245955507229,0.212234476140533,0.25794929506783304,0.25794929506783304,0.2957913455838767,0.44931831653823356,0.3775933609958506,0.3775933609958506,0.05368586629629135,0.018140437081456184,0.04488023743033409,0.04488023743033409,0.03715170278637771,0.0,0.025806451612903226,0.025806451612903226,0.3130434782608696,0.6172229089410796,0.5302713987473904,0.5302713987473904,0.3950786056049214,0.01948051948051948,0.21777003484320556,0.21777003484320556
1,ryhB,     0.23120011733326926,0.3081914162779767,0.2717236413741997,0.28967654572927654,0.3206876111440427,0.8275044457617071,0.4024896265560166,0.46591582691167754,0.10532777011394501,0.0396406315267086,0.12710627913475037,0.11377500742673874,0.06676783004552352,0.016666666666666666,0.08902077151335312,0.06528189910979229,0.46177062374245476,0.9079075821672633,0.5479323308270677,0.6216931216931217,0.16506189821182943,0.0,0.1782178217821782,0.18205461638491546
2,cyaR,     0.3482919520348164,0.17935218870818662,0.28543424611407614,0.3451449826880933,0.355463347164592,0.2607192254495159,0.2918395573997234,0.3603042876901798,0.33541497588157654,0.20702701807022095,0.29118895530700684,0.3304012417793274,0.3213872832369942,0.07494145199063232,0.25889046941678523,0.25985401459854013,0.3102232667450059,0.39224897240164414,0.33360858794384807,0.3455809334657398,0.413265306122449,0.07086614173228346,0.26380368098159507,0.43
3,gcvB,     0.3373437876002751,0.1928919659530988,0.2659257029224714,0.268166061980495,0.338865836791148,0.2987551867219917,0.30013831258644535,0.301521438450899,0.33353862166404724,0.19895042479038239,0.26945289969444275,0.27134767174720764,0.37937743190661477,0.029900332225913623,0.17539267015706805,0.18181818181818182,0.32597266035751843,0.4493491794001132,0.4044168391994479,0.4047124047124047,0.3066812705366922,0.0994263862332696,0.21796759941089838,0.21796759941089838
4,micA,     0.24137320440583424,0.06790890269151138,0.19473870837831184,0.16699252774431475,0.343015214384509,0.11341632088520055,0.22821576763485477,0.17704011065006917,0.1098506897687912,0.0475199855864048,0.1382325291633606,0.14776644110679626,0.08178438661710037,0.0,0.11475409836065574,0.13636363636363635,0.14696485623003194,0.20372670807453416,0.1939799331103679,0.1786339754816112,0.49537037037037035,0.0,0.27548209366391185,0.1859799713876967
5,dicF,     0.2709638300482902,0.29113857388617775,0.34961240119069953,0.3462526307625768,0.32088520055325037,0.7385892116182573,0.5878284923928078,0.5864453665283541,0.20813947916030884,0.07793796062469482,0.19999685883522034,0.19512665271759033,0.2155688622754491,0.02197802197802198,0.1711229946524064,0.16304347826086957,0.4412532637075718,0.8514376996805112,0.7450611476952023,0.7450611476952023,0.15606936416184972,0.0,0.1326530612244898,0.1306532663316583
6,rydC,     0.21293820039876946,0.32164161298019567,0.26449402845602227,0.22450899063981103,0.334716459197787,0.9322268326417704,0.6154910096818811,0.4633471645919779,0.07970771193504333,0.017161106690764427,0.02720114216208458,0.029107317328453064,0.10408921933085502,0.0,0.014285714285714285,0.024793388429752067,0.49060773480662984,0.964924838940587,0.7657735522904062,0.6365384615384615,0.04411764705882353,0.0,0.013422818791946308,0.012195121951219513
