medium
o2_e
cl_e
na1_e
pi_e
cl_e
h_e
mg2_e
ca2_e
h2o_e
so4_e
nh4_e
k_e
co2_e
ACP_c
flxr_c
moco_c
thm_c
adocbl_c
lipopb_c
sufbcd_c
sufse_c
trdrd_c
trnaglu_c
coa_c
adp_c
