,data_name,stage,model,score,data_f1_mean,data_f1_stde,kb_f1_mean,kb_f1_stde,bal_f1_mean,bal_f1_stde
0,norman,init,GNN,neural,0.22430745878600616,0.0024464428489741896,0.3009978800776533,0.006208619450704389,0.24778889936650908,0.0025645845558271707
1,norman,data_only,GNN,neural,0.5840448998323533,0.00024125030517635482,0.30496275110188464,0.0008506691735219174,0.3476503510573369,0.0009371237830749779
2,norman,ABL1_refl,GNN,neural,0.5405724831716143,0.0016414981922007188,0.3389348170880607,0.0016301724095705572,0.38213894360454603,0.0016271731287298141
3,norman,ABL1_refine,GNN,neural,0.5405724831716143,0.0016414981922007188,0.6370003677969036,0.0018177693022391472,0.5772715826586188,0.0017206615521138668
4,norman,ABL2_refl,GNN,neural,0.5398620442274383,0.002351937136376714,0.6370003677969036,0.0018177693022391472,0.5771746516379288,0.00181759257280395
5,norman,ABL2_refine,GNN,neural,0.5398620442274383,0.002351937136376714,0.6464699299865242,0.005623545145682141,0.578710192096376,0.0012201071872998681
6,norman,init,GNN,integrated,0.23161413868596584,0.0029257654873596772,0.34288687889387726,0.006449492514644828,0.2594812573545039,0.003020635238959374
7,norman,data_only,GNN,integrated,0.5449843547234927,0.0010424376667544921,0.3829296671724024,0.0009357224688627264,0.42617768868122624,0.0007699140317394826
8,norman,ABL1_refl,GNN,integrated,0.49684934909796086,0.04239337455275871,0.5009740462599606,0.11343510585192734,0.4656922077871243,0.0358719384225826
9,norman,ABL1_refine,GNN,integrated,0.5250016979912697,0.004703019322287283,0.6539524141607442,0.005466047520270578,0.5693366838685532,0.0050148030437
10,norman,ABL2_refl,GNN,integrated,0.5274354143887761,0.002269302924780836,0.6580843769666311,0.0013340847143836765,0.5722130780641383,0.0021384088481149477
11,norman,ABL2_refine,GNN,integrated,0.5282148552603275,0.0023087340267451406,0.6617662412210388,0.000536066675462854,0.5736289299571385,0.0017829518191799787
12,norman,init,MLP,neural,0.2205515805346317,0.005044328688604646,0.29881991911218253,0.005357150194765153,0.2439266942492575,0.004374147060186392
13,norman,data_only,MLP,neural,0.5803542665493981,0.0004887256722140298,0.2998270623179759,0.0010609560404259422,0.341930558849959,0.0011676345089445817
14,norman,ABL1_refl,MLP,neural,0.538627145698562,0.0002941093766299918,0.33579065486570336,0.0009574062986699994,0.37884389659983353,0.0009725678226882306
15,norman,ABL1_refine,MLP,neural,0.538627145698562,0.0002941093766299918,0.6402615660872408,0.0007524593097017473,0.576779429321498,0.0002847010224651392
16,norman,ABL2_refl,MLP,neural,0.528280672399021,0.0015696794907383294,0.642260232186915,0.0004842262919897422,0.5692060872545264,0.0012202366194590808
