,perturbation,control_idx,deleted_genes,mutated_genes,overexpressed_genes,conditions,Strain,Base Media,Temperature (C),pH,Carbon Source (g/L),Nitrogen Source (g/L),Electron Acceptor,Supplement,Antibiotic for selection,Growth Rate (1/hr)
p1k_00210,{'b0796': -1},"['p1k_00001', 'p1k_00002', 'p1k_00161', 'p1k_00162', 'p1k_00163', 'p1k_00164', 'p1k_00185', 'p1k_00186', 'p1k_00191', 'p1k_00192']",ybiH,,,"('MG1655', 'M9', 37, 7.0, 'glucose(2)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,7.0,glucose(2),NH4Cl(1),O2,,Kanamycin,0.67
p1k_00211,{'b1422': -1},"['p1k_00011', 'p1k_00012', 'p1k_00201', 'p1k_00202']",ydcI,,,"('MG1655', 'M9', 37, 5.5, 'glucose(2)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,5.5,glucose(2),NH4Cl(1),O2,,Kanamycin,0.38
p1k_00212,{'b1422': -1},"['p1k_00011', 'p1k_00012', 'p1k_00201', 'p1k_00202']",ydcI,,,"('MG1655', 'M9', 37, 5.5, 'glucose(2)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,5.5,glucose(2),NH4Cl(1),O2,,Kanamycin,0.39
p1k_00213,{'b1422': -1},"['p1k_00203', 'p1k_00204']",ydcI,,,"('MG1655', 'M9', 37, 8.5, 'glucose(2)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,8.5,glucose(2),NH4Cl(1),O2,,Kanamycin,0.52
p1k_00214,{'b1422': -1},"['p1k_00203', 'p1k_00204']",ydcI,,,"('MG1655', 'M9', 37, 8.5, 'glucose(2)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,8.5,glucose(2),NH4Cl(1),O2,,Kanamycin,0.52
p1k_00215,{'b1477': -1},"['p1k_00001', 'p1k_00002', 'p1k_00161', 'p1k_00162', 'p1k_00163', 'p1k_00164', 'p1k_00185', 'p1k_00186', 'p1k_00191', 'p1k_00192']",yddM,,,"('MG1655', 'M9', 37, 7.0, 'glucose(2)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,7.0,glucose(2),NH4Cl(1),O2,,Kanamycin,0.65
p1k_00216,{'b1477': -1},"['p1k_00001', 'p1k_00002', 'p1k_00161', 'p1k_00162', 'p1k_00163', 'p1k_00164', 'p1k_00185', 'p1k_00186', 'p1k_00191', 'p1k_00192']",yddM,,,"('MG1655', 'M9', 37, 7.0, 'glucose(2)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,7.0,glucose(2),NH4Cl(1),O2,,Kanamycin,0.65
p1k_00217,{'b3346': -1},"['p1k_00001', 'p1k_00002', 'p1k_00161', 'p1k_00162', 'p1k_00163', 'p1k_00164', 'p1k_00185', 'p1k_00186', 'p1k_00191', 'p1k_00192']",yheO,,,"('MG1655', 'M9', 37, 7.0, 'glucose(2)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,7.0,glucose(2),NH4Cl(1),O2,,Kanamycin,0.66
p1k_00218,{'b3346': -1},"['p1k_00001', 'p1k_00002', 'p1k_00161', 'p1k_00162', 'p1k_00163', 'p1k_00164', 'p1k_00185', 'p1k_00186', 'p1k_00191', 'p1k_00192']",yheO,,,"('MG1655', 'M9', 37, 7.0, 'glucose(2)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,7.0,glucose(2),NH4Cl(1),O2,,Kanamycin,0.65
p1k_00221,{'b0002': -1},"['p1k_00219', 'p1k_00220']",thrA,,,"('BW25113', 'M9', 37, 7.0, 'glucose(2)', 'NH4Cl(1)', 'O2', nan)",BW25113,M9,37,7.0,glucose(2),NH4Cl(1),O2,,,0.54
p1k_00222,{'b0002': -1},"['p1k_00219', 'p1k_00220']",thrA,,,"('BW25113', 'M9', 37, 7.0, 'glucose(2)', 'NH4Cl(1)', 'O2', nan)",BW25113,M9,37,7.0,glucose(2),NH4Cl(1),O2,,,0.54
