,perturbation,control_idx,deleted_genes,mutated_genes,overexpressed_genes,conditions,Strain,Base Media,Temperature (C),pH,Carbon Source (g/L),Nitrogen Source (g/L),Electron Acceptor,Supplement,Antibiotic for selection,Growth Rate (1/hr)
p1k_00304,{'b2265': -1},"['p1k_00295', 'p1k_00296', 'p1k_00321', 'p1k_00322', 'p1k_00325', 'p1k_00326', 'p1k_00329', 'p1k_00330', 'p1k_00333', 'p1k_00334', 'p1k_00337', 'p1k_00338', 'p1k_00612', 'p1k_00613', 'p1k_00562', 'p1k_00563', 'p1k_00540', 'p1k_00541', 'p1k_00546', 'p1k_00547', 'p1k_00568', 'p1k_00569', 'p1k_00586', 'p1k_00587', 'p1k_00578', 'p1k_00579', 'p1k_00511', 'p1k_00512', 'p1k_00600', 'p1k_00601', 'p1k_00606', 'p1k_00607', 'p1k_00552', 'p1k_00553', 'p1k_00594', 'p1k_00595', 'p1k_00518', 'p1k_00519', 'p1k_00520', 'p1k_00521', 'p1k_00526', 'p1k_00527', 'p1k_00528', 'p1k_00529', 'p1k_00534', 'p1k_00535', 'p1k_00710', 'p1k_00711', 'p1k_00712', 'p1k_00713', 'p1k_00714', 'p1k_00715', 'p1k_00771', 'p1k_00772', 'p1k_00775', 'p1k_00776', 'p1k_00779', 'p1k_00780', 'p1k_00783', 'p1k_00784', 'p1k_00787', 'p1k_00788', 'p1k_00884', 'p1k_00885']",menF,,,"('GMOS', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",GMOS,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00305,{'b2265': -1},"['p1k_00295', 'p1k_00296', 'p1k_00321', 'p1k_00322', 'p1k_00325', 'p1k_00326', 'p1k_00329', 'p1k_00330', 'p1k_00333', 'p1k_00334', 'p1k_00337', 'p1k_00338', 'p1k_00612', 'p1k_00613', 'p1k_00562', 'p1k_00563', 'p1k_00540', 'p1k_00541', 'p1k_00546', 'p1k_00547', 'p1k_00568', 'p1k_00569', 'p1k_00586', 'p1k_00587', 'p1k_00578', 'p1k_00579', 'p1k_00511', 'p1k_00512', 'p1k_00600', 'p1k_00601', 'p1k_00606', 'p1k_00607', 'p1k_00552', 'p1k_00553', 'p1k_00594', 'p1k_00595', 'p1k_00518', 'p1k_00519', 'p1k_00520', 'p1k_00521', 'p1k_00526', 'p1k_00527', 'p1k_00528', 'p1k_00529', 'p1k_00534', 'p1k_00535', 'p1k_00710', 'p1k_00711', 'p1k_00712', 'p1k_00713', 'p1k_00714', 'p1k_00715', 'p1k_00771', 'p1k_00772', 'p1k_00775', 'p1k_00776', 'p1k_00779', 'p1k_00780', 'p1k_00783', 'p1k_00784', 'p1k_00787', 'p1k_00788', 'p1k_00884', 'p1k_00885']",menF,,,"('GMOS', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",GMOS,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00306,{'b2265': -1},"['p1k_00295', 'p1k_00296', 'p1k_00321', 'p1k_00322', 'p1k_00325', 'p1k_00326', 'p1k_00329', 'p1k_00330', 'p1k_00333', 'p1k_00334', 'p1k_00337', 'p1k_00338', 'p1k_00612', 'p1k_00613', 'p1k_00562', 'p1k_00563', 'p1k_00540', 'p1k_00541', 'p1k_00546', 'p1k_00547', 'p1k_00568', 'p1k_00569', 'p1k_00586', 'p1k_00587', 'p1k_00578', 'p1k_00579', 'p1k_00511', 'p1k_00512', 'p1k_00600', 'p1k_00601', 'p1k_00606', 'p1k_00607', 'p1k_00552', 'p1k_00553', 'p1k_00594', 'p1k_00595', 'p1k_00518', 'p1k_00519', 'p1k_00520', 'p1k_00521', 'p1k_00526', 'p1k_00527', 'p1k_00528', 'p1k_00529', 'p1k_00534', 'p1k_00535', 'p1k_00710', 'p1k_00711', 'p1k_00712', 'p1k_00713', 'p1k_00714', 'p1k_00715', 'p1k_00771', 'p1k_00772', 'p1k_00775', 'p1k_00776', 'p1k_00779', 'p1k_00780', 'p1k_00783', 'p1k_00784', 'p1k_00787', 'p1k_00788', 'p1k_00884', 'p1k_00885']",menF,,,"('GMOS', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",GMOS,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00307,"{'b2265': -1, 'b4039': -1}","['p1k_00295', 'p1k_00296', 'p1k_00321', 'p1k_00322', 'p1k_00325', 'p1k_00326', 'p1k_00329', 'p1k_00330', 'p1k_00333', 'p1k_00334', 'p1k_00337', 'p1k_00338', 'p1k_00612', 'p1k_00613', 'p1k_00562', 'p1k_00563', 'p1k_00540', 'p1k_00541', 'p1k_00546', 'p1k_00547', 'p1k_00568', 'p1k_00569', 'p1k_00586', 'p1k_00587', 'p1k_00578', 'p1k_00579', 'p1k_00511', 'p1k_00512', 'p1k_00600', 'p1k_00601', 'p1k_00606', 'p1k_00607', 'p1k_00552', 'p1k_00553', 'p1k_00594', 'p1k_00595', 'p1k_00518', 'p1k_00519', 'p1k_00520', 'p1k_00521', 'p1k_00526', 'p1k_00527', 'p1k_00528', 'p1k_00529', 'p1k_00534', 'p1k_00535', 'p1k_00710', 'p1k_00711', 'p1k_00712', 'p1k_00713', 'p1k_00714', 'p1k_00715', 'p1k_00771', 'p1k_00772', 'p1k_00775', 'p1k_00776', 'p1k_00779', 'p1k_00780', 'p1k_00783', 'p1k_00784', 'p1k_00787', 'p1k_00788', 'p1k_00884', 'p1k_00885']",menF&ubiC,,,"('GMOS', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",GMOS,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00308,"{'b2265': -1, 'b4039': -1}","['p1k_00295', 'p1k_00296', 'p1k_00321', 'p1k_00322', 'p1k_00325', 'p1k_00326', 'p1k_00329', 'p1k_00330', 'p1k_00333', 'p1k_00334', 'p1k_00337', 'p1k_00338', 'p1k_00612', 'p1k_00613', 'p1k_00562', 'p1k_00563', 'p1k_00540', 'p1k_00541', 'p1k_00546', 'p1k_00547', 'p1k_00568', 'p1k_00569', 'p1k_00586', 'p1k_00587', 'p1k_00578', 'p1k_00579', 'p1k_00511', 'p1k_00512', 'p1k_00600', 'p1k_00601', 'p1k_00606', 'p1k_00607', 'p1k_00552', 'p1k_00553', 'p1k_00594', 'p1k_00595', 'p1k_00518', 'p1k_00519', 'p1k_00520', 'p1k_00521', 'p1k_00526', 'p1k_00527', 'p1k_00528', 'p1k_00529', 'p1k_00534', 'p1k_00535', 'p1k_00710', 'p1k_00711', 'p1k_00712', 'p1k_00713', 'p1k_00714', 'p1k_00715', 'p1k_00771', 'p1k_00772', 'p1k_00775', 'p1k_00776', 'p1k_00779', 'p1k_00780', 'p1k_00783', 'p1k_00784', 'p1k_00787', 'p1k_00788', 'p1k_00884', 'p1k_00885']",menF&ubiC,,,"('GMOS', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",GMOS,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00309,"{'b2265': -1, 'b4039': -1}","['p1k_00295', 'p1k_00296', 'p1k_00321', 'p1k_00322', 'p1k_00325', 'p1k_00326', 'p1k_00329', 'p1k_00330', 'p1k_00333', 'p1k_00334', 'p1k_00337', 'p1k_00338', 'p1k_00612', 'p1k_00613', 'p1k_00562', 'p1k_00563', 'p1k_00540', 'p1k_00541', 'p1k_00546', 'p1k_00547', 'p1k_00568', 'p1k_00569', 'p1k_00586', 'p1k_00587', 'p1k_00578', 'p1k_00579', 'p1k_00511', 'p1k_00512', 'p1k_00600', 'p1k_00601', 'p1k_00606', 'p1k_00607', 'p1k_00552', 'p1k_00553', 'p1k_00594', 'p1k_00595', 'p1k_00518', 'p1k_00519', 'p1k_00520', 'p1k_00521', 'p1k_00526', 'p1k_00527', 'p1k_00528', 'p1k_00529', 'p1k_00534', 'p1k_00535', 'p1k_00710', 'p1k_00711', 'p1k_00712', 'p1k_00713', 'p1k_00714', 'p1k_00715', 'p1k_00771', 'p1k_00772', 'p1k_00775', 'p1k_00776', 'p1k_00779', 'p1k_00780', 'p1k_00783', 'p1k_00784', 'p1k_00787', 'p1k_00788', 'p1k_00884', 'p1k_00885']",menF&ubiC,,,"('GMOS', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",GMOS,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00310,"{'b2265': -1, 'b4039': -1}","['p1k_00295', 'p1k_00296', 'p1k_00321', 'p1k_00322', 'p1k_00325', 'p1k_00326', 'p1k_00329', 'p1k_00330', 'p1k_00333', 'p1k_00334', 'p1k_00337', 'p1k_00338', 'p1k_00612', 'p1k_00613', 'p1k_00562', 'p1k_00563', 'p1k_00540', 'p1k_00541', 'p1k_00546', 'p1k_00547', 'p1k_00568', 'p1k_00569', 'p1k_00586', 'p1k_00587', 'p1k_00578', 'p1k_00579', 'p1k_00511', 'p1k_00512', 'p1k_00600', 'p1k_00601', 'p1k_00606', 'p1k_00607', 'p1k_00552', 'p1k_00553', 'p1k_00594', 'p1k_00595', 'p1k_00518', 'p1k_00519', 'p1k_00520', 'p1k_00521', 'p1k_00526', 'p1k_00527', 'p1k_00528', 'p1k_00529', 'p1k_00534', 'p1k_00535', 'p1k_00710', 'p1k_00711', 'p1k_00712', 'p1k_00713', 'p1k_00714', 'p1k_00715', 'p1k_00771', 'p1k_00772', 'p1k_00775', 'p1k_00776', 'p1k_00779', 'p1k_00780', 'p1k_00783', 'p1k_00784', 'p1k_00787', 'p1k_00788', 'p1k_00884', 'p1k_00885']",menF&ubiC,,,"('GMOS', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",GMOS,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00311,"{'b2265': -1, 'b4039': -1}","['p1k_00295', 'p1k_00296', 'p1k_00321', 'p1k_00322', 'p1k_00325', 'p1k_00326', 'p1k_00329', 'p1k_00330', 'p1k_00333', 'p1k_00334', 'p1k_00337', 'p1k_00338', 'p1k_00612', 'p1k_00613', 'p1k_00562', 'p1k_00563', 'p1k_00540', 'p1k_00541', 'p1k_00546', 'p1k_00547', 'p1k_00568', 'p1k_00569', 'p1k_00586', 'p1k_00587', 'p1k_00578', 'p1k_00579', 'p1k_00511', 'p1k_00512', 'p1k_00600', 'p1k_00601', 'p1k_00606', 'p1k_00607', 'p1k_00552', 'p1k_00553', 'p1k_00594', 'p1k_00595', 'p1k_00518', 'p1k_00519', 'p1k_00520', 'p1k_00521', 'p1k_00526', 'p1k_00527', 'p1k_00528', 'p1k_00529', 'p1k_00534', 'p1k_00535', 'p1k_00710', 'p1k_00711', 'p1k_00712', 'p1k_00713', 'p1k_00714', 'p1k_00715', 'p1k_00771', 'p1k_00772', 'p1k_00775', 'p1k_00776', 'p1k_00779', 'p1k_00780', 'p1k_00783', 'p1k_00784', 'p1k_00787', 'p1k_00788', 'p1k_00884', 'p1k_00885']",menF&ubiC,,,"('GMOS', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",GMOS,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00312,"{'b2265': -1, 'b4039': -1}","['p1k_00295', 'p1k_00296', 'p1k_00321', 'p1k_00322', 'p1k_00325', 'p1k_00326', 'p1k_00329', 'p1k_00330', 'p1k_00333', 'p1k_00334', 'p1k_00337', 'p1k_00338', 'p1k_00612', 'p1k_00613', 'p1k_00562', 'p1k_00563', 'p1k_00540', 'p1k_00541', 'p1k_00546', 'p1k_00547', 'p1k_00568', 'p1k_00569', 'p1k_00586', 'p1k_00587', 'p1k_00578', 'p1k_00579', 'p1k_00511', 'p1k_00512', 'p1k_00600', 'p1k_00601', 'p1k_00606', 'p1k_00607', 'p1k_00552', 'p1k_00553', 'p1k_00594', 'p1k_00595', 'p1k_00518', 'p1k_00519', 'p1k_00520', 'p1k_00521', 'p1k_00526', 'p1k_00527', 'p1k_00528', 'p1k_00529', 'p1k_00534', 'p1k_00535', 'p1k_00710', 'p1k_00711', 'p1k_00712', 'p1k_00713', 'p1k_00714', 'p1k_00715', 'p1k_00771', 'p1k_00772', 'p1k_00775', 'p1k_00776', 'p1k_00779', 'p1k_00780', 'p1k_00783', 'p1k_00784', 'p1k_00787', 'p1k_00788', 'p1k_00884', 'p1k_00885']",menF&ubiC,,,"('GMOS', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",GMOS,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00313,"{'b2265': -1, 'b4039': -1}","['p1k_00295', 'p1k_00296', 'p1k_00321', 'p1k_00322', 'p1k_00325', 'p1k_00326', 'p1k_00329', 'p1k_00330', 'p1k_00333', 'p1k_00334', 'p1k_00337', 'p1k_00338', 'p1k_00612', 'p1k_00613', 'p1k_00562', 'p1k_00563', 'p1k_00540', 'p1k_00541', 'p1k_00546', 'p1k_00547', 'p1k_00568', 'p1k_00569', 'p1k_00586', 'p1k_00587', 'p1k_00578', 'p1k_00579', 'p1k_00511', 'p1k_00512', 'p1k_00600', 'p1k_00601', 'p1k_00606', 'p1k_00607', 'p1k_00552', 'p1k_00553', 'p1k_00594', 'p1k_00595', 'p1k_00518', 'p1k_00519', 'p1k_00520', 'p1k_00521', 'p1k_00526', 'p1k_00527', 'p1k_00528', 'p1k_00529', 'p1k_00534', 'p1k_00535', 'p1k_00710', 'p1k_00711', 'p1k_00712', 'p1k_00713', 'p1k_00714', 'p1k_00715', 'p1k_00771', 'p1k_00772', 'p1k_00775', 'p1k_00776', 'p1k_00779', 'p1k_00780', 'p1k_00783', 'p1k_00784', 'p1k_00787', 'p1k_00788', 'p1k_00884', 'p1k_00885']",menF&ubiC,,,"('GMOS', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",GMOS,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00314,"{'b2265': -1, 'b4039': -1}","['p1k_00295', 'p1k_00296', 'p1k_00321', 'p1k_00322', 'p1k_00325', 'p1k_00326', 'p1k_00329', 'p1k_00330', 'p1k_00333', 'p1k_00334', 'p1k_00337', 'p1k_00338', 'p1k_00612', 'p1k_00613', 'p1k_00562', 'p1k_00563', 'p1k_00540', 'p1k_00541', 'p1k_00546', 'p1k_00547', 'p1k_00568', 'p1k_00569', 'p1k_00586', 'p1k_00587', 'p1k_00578', 'p1k_00579', 'p1k_00511', 'p1k_00512', 'p1k_00600', 'p1k_00601', 'p1k_00606', 'p1k_00607', 'p1k_00552', 'p1k_00553', 'p1k_00594', 'p1k_00595', 'p1k_00518', 'p1k_00519', 'p1k_00520', 'p1k_00521', 'p1k_00526', 'p1k_00527', 'p1k_00528', 'p1k_00529', 'p1k_00534', 'p1k_00535', 'p1k_00710', 'p1k_00711', 'p1k_00712', 'p1k_00713', 'p1k_00714', 'p1k_00715', 'p1k_00771', 'p1k_00772', 'p1k_00775', 'p1k_00776', 'p1k_00779', 'p1k_00780', 'p1k_00783', 'p1k_00784', 'p1k_00787', 'p1k_00788', 'p1k_00884', 'p1k_00885']",menF&ubiC,,,"('GMOS', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",GMOS,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00315,"{'b2265': -1, 'b4039': -1}","['p1k_00295', 'p1k_00296', 'p1k_00321', 'p1k_00322', 'p1k_00325', 'p1k_00326', 'p1k_00329', 'p1k_00330', 'p1k_00333', 'p1k_00334', 'p1k_00337', 'p1k_00338', 'p1k_00612', 'p1k_00613', 'p1k_00562', 'p1k_00563', 'p1k_00540', 'p1k_00541', 'p1k_00546', 'p1k_00547', 'p1k_00568', 'p1k_00569', 'p1k_00586', 'p1k_00587', 'p1k_00578', 'p1k_00579', 'p1k_00511', 'p1k_00512', 'p1k_00600', 'p1k_00601', 'p1k_00606', 'p1k_00607', 'p1k_00552', 'p1k_00553', 'p1k_00594', 'p1k_00595', 'p1k_00518', 'p1k_00519', 'p1k_00520', 'p1k_00521', 'p1k_00526', 'p1k_00527', 'p1k_00528', 'p1k_00529', 'p1k_00534', 'p1k_00535', 'p1k_00710', 'p1k_00711', 'p1k_00712', 'p1k_00713', 'p1k_00714', 'p1k_00715', 'p1k_00771', 'p1k_00772', 'p1k_00775', 'p1k_00776', 'p1k_00779', 'p1k_00780', 'p1k_00783', 'p1k_00784', 'p1k_00787', 'p1k_00788', 'p1k_00884', 'p1k_00885']",menF&ubiC,,,"('GMOS', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",GMOS,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00316,"{'b2265': -1, 'b4039': -1}","['p1k_00295', 'p1k_00296', 'p1k_00321', 'p1k_00322', 'p1k_00325', 'p1k_00326', 'p1k_00329', 'p1k_00330', 'p1k_00333', 'p1k_00334', 'p1k_00337', 'p1k_00338', 'p1k_00612', 'p1k_00613', 'p1k_00562', 'p1k_00563', 'p1k_00540', 'p1k_00541', 'p1k_00546', 'p1k_00547', 'p1k_00568', 'p1k_00569', 'p1k_00586', 'p1k_00587', 'p1k_00578', 'p1k_00579', 'p1k_00511', 'p1k_00512', 'p1k_00600', 'p1k_00601', 'p1k_00606', 'p1k_00607', 'p1k_00552', 'p1k_00553', 'p1k_00594', 'p1k_00595', 'p1k_00518', 'p1k_00519', 'p1k_00520', 'p1k_00521', 'p1k_00526', 'p1k_00527', 'p1k_00528', 'p1k_00529', 'p1k_00534', 'p1k_00535', 'p1k_00710', 'p1k_00711', 'p1k_00712', 'p1k_00713', 'p1k_00714', 'p1k_00715', 'p1k_00771', 'p1k_00772', 'p1k_00775', 'p1k_00776', 'p1k_00779', 'p1k_00780', 'p1k_00783', 'p1k_00784', 'p1k_00787', 'p1k_00788', 'p1k_00884', 'p1k_00885']",menF&ubiC,,,"('GMOS', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",GMOS,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00341,{'b4025': -1},"['p1k_00041', 'p1k_00042', 'p1k_00070', 'p1k_00071', 'p1k_00072', 'p1k_00092', 'p1k_00093', 'p1k_00125', 'p1k_00126', 'p1k_00127', 'p1k_00128', 'p1k_00129', 'p1k_00130', 'p1k_00131', 'p1k_00143', 'p1k_00146', 'p1k_00147', 'p1k_00148', 'p1k_00155', 'p1k_00157', 'p1k_00159', 'p1k_00317', 'p1k_00318', 'p1k_00357', 'p1k_00358', 'p1k_00389', 'p1k_00390', 'p1k_00395', 'p1k_00396', 'p1k_00401', 'p1k_00402', 'p1k_00407', 'p1k_00408', 'p1k_00413', 'p1k_00414', 'p1k_00421', 'p1k_00422', 'p1k_00423', 'p1k_00424', 'p1k_00431', 'p1k_00432', 'p1k_00437', 'p1k_00438', 'p1k_00882', 'p1k_00883']",,pgi,,"('MG1655', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00342,{'b4025': -1},"['p1k_00041', 'p1k_00042', 'p1k_00070', 'p1k_00071', 'p1k_00072', 'p1k_00092', 'p1k_00093', 'p1k_00125', 'p1k_00126', 'p1k_00127', 'p1k_00128', 'p1k_00129', 'p1k_00130', 'p1k_00131', 'p1k_00143', 'p1k_00146', 'p1k_00147', 'p1k_00148', 'p1k_00155', 'p1k_00157', 'p1k_00159', 'p1k_00317', 'p1k_00318', 'p1k_00357', 'p1k_00358', 'p1k_00389', 'p1k_00390', 'p1k_00395', 'p1k_00396', 'p1k_00401', 'p1k_00402', 'p1k_00407', 'p1k_00408', 'p1k_00413', 'p1k_00414', 'p1k_00421', 'p1k_00422', 'p1k_00423', 'p1k_00424', 'p1k_00431', 'p1k_00432', 'p1k_00437', 'p1k_00438', 'p1k_00882', 'p1k_00883']",,pgi,,"('MG1655', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00343,{'b4025': -1},"['p1k_00041', 'p1k_00042', 'p1k_00070', 'p1k_00071', 'p1k_00072', 'p1k_00092', 'p1k_00093', 'p1k_00125', 'p1k_00126', 'p1k_00127', 'p1k_00128', 'p1k_00129', 'p1k_00130', 'p1k_00131', 'p1k_00143', 'p1k_00146', 'p1k_00147', 'p1k_00148', 'p1k_00155', 'p1k_00157', 'p1k_00159', 'p1k_00317', 'p1k_00318', 'p1k_00357', 'p1k_00358', 'p1k_00389', 'p1k_00390', 'p1k_00395', 'p1k_00396', 'p1k_00401', 'p1k_00402', 'p1k_00407', 'p1k_00408', 'p1k_00413', 'p1k_00414', 'p1k_00421', 'p1k_00422', 'p1k_00423', 'p1k_00424', 'p1k_00431', 'p1k_00432', 'p1k_00437', 'p1k_00438', 'p1k_00882', 'p1k_00883']",,pgi,,"('MG1655', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00344,{'b4025': -1},"['p1k_00041', 'p1k_00042', 'p1k_00070', 'p1k_00071', 'p1k_00072', 'p1k_00092', 'p1k_00093', 'p1k_00125', 'p1k_00126', 'p1k_00127', 'p1k_00128', 'p1k_00129', 'p1k_00130', 'p1k_00131', 'p1k_00143', 'p1k_00146', 'p1k_00147', 'p1k_00148', 'p1k_00155', 'p1k_00157', 'p1k_00159', 'p1k_00317', 'p1k_00318', 'p1k_00357', 'p1k_00358', 'p1k_00389', 'p1k_00390', 'p1k_00395', 'p1k_00396', 'p1k_00401', 'p1k_00402', 'p1k_00407', 'p1k_00408', 'p1k_00413', 'p1k_00414', 'p1k_00421', 'p1k_00422', 'p1k_00423', 'p1k_00424', 'p1k_00431', 'p1k_00432', 'p1k_00437', 'p1k_00438', 'p1k_00882', 'p1k_00883']",,pgi,,"('MG1655', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00345,{'b4025': -1},"['p1k_00041', 'p1k_00042', 'p1k_00070', 'p1k_00071', 'p1k_00072', 'p1k_00092', 'p1k_00093', 'p1k_00125', 'p1k_00126', 'p1k_00127', 'p1k_00128', 'p1k_00129', 'p1k_00130', 'p1k_00131', 'p1k_00143', 'p1k_00146', 'p1k_00147', 'p1k_00148', 'p1k_00155', 'p1k_00157', 'p1k_00159', 'p1k_00317', 'p1k_00318', 'p1k_00357', 'p1k_00358', 'p1k_00389', 'p1k_00390', 'p1k_00395', 'p1k_00396', 'p1k_00401', 'p1k_00402', 'p1k_00407', 'p1k_00408', 'p1k_00413', 'p1k_00414', 'p1k_00421', 'p1k_00422', 'p1k_00423', 'p1k_00424', 'p1k_00431', 'p1k_00432', 'p1k_00437', 'p1k_00438', 'p1k_00882', 'p1k_00883']",,pgi,,"('MG1655', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00346,{'b4025': -1},"['p1k_00041', 'p1k_00042', 'p1k_00070', 'p1k_00071', 'p1k_00072', 'p1k_00092', 'p1k_00093', 'p1k_00125', 'p1k_00126', 'p1k_00127', 'p1k_00128', 'p1k_00129', 'p1k_00130', 'p1k_00131', 'p1k_00143', 'p1k_00146', 'p1k_00147', 'p1k_00148', 'p1k_00155', 'p1k_00157', 'p1k_00159', 'p1k_00317', 'p1k_00318', 'p1k_00357', 'p1k_00358', 'p1k_00389', 'p1k_00390', 'p1k_00395', 'p1k_00396', 'p1k_00401', 'p1k_00402', 'p1k_00407', 'p1k_00408', 'p1k_00413', 'p1k_00414', 'p1k_00421', 'p1k_00422', 'p1k_00423', 'p1k_00424', 'p1k_00431', 'p1k_00432', 'p1k_00437', 'p1k_00438', 'p1k_00882', 'p1k_00883']",,pgi,,"('MG1655', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00347,{'b4025': -1},"['p1k_00041', 'p1k_00042', 'p1k_00070', 'p1k_00071', 'p1k_00072', 'p1k_00092', 'p1k_00093', 'p1k_00125', 'p1k_00126', 'p1k_00127', 'p1k_00128', 'p1k_00129', 'p1k_00130', 'p1k_00131', 'p1k_00143', 'p1k_00146', 'p1k_00147', 'p1k_00148', 'p1k_00155', 'p1k_00157', 'p1k_00159', 'p1k_00317', 'p1k_00318', 'p1k_00357', 'p1k_00358', 'p1k_00389', 'p1k_00390', 'p1k_00395', 'p1k_00396', 'p1k_00401', 'p1k_00402', 'p1k_00407', 'p1k_00408', 'p1k_00413', 'p1k_00414', 'p1k_00421', 'p1k_00422', 'p1k_00423', 'p1k_00424', 'p1k_00431', 'p1k_00432', 'p1k_00437', 'p1k_00438', 'p1k_00882', 'p1k_00883']",,pgi,,"('MG1655', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00348,{'b4025': -1},"['p1k_00041', 'p1k_00042', 'p1k_00070', 'p1k_00071', 'p1k_00072', 'p1k_00092', 'p1k_00093', 'p1k_00125', 'p1k_00126', 'p1k_00127', 'p1k_00128', 'p1k_00129', 'p1k_00130', 'p1k_00131', 'p1k_00143', 'p1k_00146', 'p1k_00147', 'p1k_00148', 'p1k_00155', 'p1k_00157', 'p1k_00159', 'p1k_00317', 'p1k_00318', 'p1k_00357', 'p1k_00358', 'p1k_00389', 'p1k_00390', 'p1k_00395', 'p1k_00396', 'p1k_00401', 'p1k_00402', 'p1k_00407', 'p1k_00408', 'p1k_00413', 'p1k_00414', 'p1k_00421', 'p1k_00422', 'p1k_00423', 'p1k_00424', 'p1k_00431', 'p1k_00432', 'p1k_00437', 'p1k_00438', 'p1k_00882', 'p1k_00883']",,pgi,,"('MG1655', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00349,{'b4025': -1},"['p1k_00041', 'p1k_00042', 'p1k_00070', 'p1k_00071', 'p1k_00072', 'p1k_00092', 'p1k_00093', 'p1k_00125', 'p1k_00126', 'p1k_00127', 'p1k_00128', 'p1k_00129', 'p1k_00130', 'p1k_00131', 'p1k_00143', 'p1k_00146', 'p1k_00147', 'p1k_00148', 'p1k_00155', 'p1k_00157', 'p1k_00159', 'p1k_00317', 'p1k_00318', 'p1k_00357', 'p1k_00358', 'p1k_00389', 'p1k_00390', 'p1k_00395', 'p1k_00396', 'p1k_00401', 'p1k_00402', 'p1k_00407', 'p1k_00408', 'p1k_00413', 'p1k_00414', 'p1k_00421', 'p1k_00422', 'p1k_00423', 'p1k_00424', 'p1k_00431', 'p1k_00432', 'p1k_00437', 'p1k_00438', 'p1k_00882', 'p1k_00883']",,pgi,,"('MG1655', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
