GO_0000287,"{'b0134', 'b2820', 'b2261', 'b0675', 'b1581', 'b3671', 'b0369', 'b1897', 'b2293', 'b1764', 'b3885', 'b0778', 'b0822', 'b0388', 'b2830', 'b0420', 'b2373', 'b1706', 'b2787', 'b2798', 'b2779', 'b3449', 'b3724', 'b2296', 'b0507', 'b3789', 'b0124', 'b3399', 'b0474', 'b3403', 'b2048', 'b1812', 'b3857', 'b1593', 'b1849', 'b4226', 'b4258', 'b0383', 'b1344', 'b3041', 'b0446', 'b2761', 'b1136', 'b3812', 'b0550', 'b2467', 'b3712', 'b4143', 'b1863', 'b1740', 'b0214', 'b3930', 'b2104', 'b2607', 'b1236', 'b0844', 'b3056', 'b1207', 'b4055', 'b1955', 'b1489', 'b0905', 'b3697', 'b0871', 'b1676', 'b3988', 'b3034', 'b0469', 'b2827', 'b3642', 'b1813', 'b1714', 'b1584', 'b3640', 'b3916', 'b3397', 'b3784', 'b0077', 'b2954', 'b0085', 'b2019', 'b4488', 'b4483', 'b2890', 'b3475', 'b3176', 'b0114', 'b2051', 'b0331', 'b0595', 'b3430', 'b3956', 'b1713', 'b1636', 'b3993', 'b3126', 'b2418', 'b0697', 'b1199', 'b0052', 'b1507', 'b4383', 'b3390', 'b3183', 'b0174', 'b1317', 'b4394', 'b1277', 'b3932', 'b0893', 'b4232', 'b3931', 'b0728', 'b2563', 'b2265', 'b2877', 'b1854', 'b0091', 'b0200', 'b2251', 'b2947', 'b3767', 'b0688', 'b0120', 'b4390', 'b1882', 'b4177', 'b0125', 'b0099', 'b1263', 'b0766', 'b2690', 'b1727', 'b2889', 'b2777', 'b0583', 'b1800', 'b0918', 'b2011', 'b0344', 'b4362', 'b3859', 'b2935', 'b3380', 'b3771', 'b3053', 'b0238', 'b3565', 'b0142', 'b2747', 'b3998', 'b4016', 'b3164', 'b2780', 'b0160', 'b2942', 'b0231', 'b2533', 'b2086', 'b2247', 'b1652', 'b1702', 'b0757', 'b0417', 'b2312', 'b1763', 'b0242', 'b2567', 'b0593', 'b3064', 'b1084', 'b3715', 'b4196', 'b4388', 'b3996', 'b2264', 'b4478', 'b3730', 'b3826', 'b3774', 'b1723', 'b2938', 'b1865', 'b0073', 'b2498', 'b0726', 'b4129', 'b2245', 'b3385', 'b4214'}"
GO_0000293,{'b4367'}
GO_0000302,"{'b3011', 'b0606', 'b1710', 'b1089'}"
GO_0000303,"{'b1656', 'b3923', 'b3924'}"
GO_0000309,{'b4390'}
GO_0000310,{'b0238'}
GO_0000345,"{'b3295', 'b2573', 'b3461', 'b3649', 'b4293', 'b3067', 'b3988', 'b2741', 'b1922', 'b3987', 'b3202'}"
GO_0000372,{'b3342'}
GO_0000400,"{'b0550', 'b1860', 'b2609', 'b1861'}"
GO_0000405,"{'b0547', 'b0228'}"
GO_0000408,"{'b3064', 'b4168', 'b1807'}"
GO_0000413,"{'b3363', 'b0525'}"
GO_0000428,"{'b3295', 'b3988', 'b3066', 'b3987', 'b3202', 'b3649'}"
GO_0000451,{'b4180'}
GO_0000455,"{'b1135', 'b1269', 'b2594', 'b4022', 'b1086', 'b0058', 'b2183'}"
GO_0000470,{'b1266'}
GO_0000481,{'b1266'}
GO_0000700,{'b3068'}
GO_0000701,{'b2961'}
GO_0000703,"{'b1633', 'b3635', 'b0714'}"
GO_0000715,"{'b4058', 'b0779'}"
GO_0000716,{'b1114'}
GO_0000717,"{'b4170', 'b3813'}"
GO_0000719,{'b0708'}
GO_0000724,"{'b2819', 'b2820', 'b2616', 'b2822'}"
GO_0000725,"{'b2820', 'b4389', 'b3494', 'b2616', 'b2822', 'b1861', 'b1860', 'b1863', 'b0472', 'b4059', 'b2699', 'b2565', 'b3700', 'b2819'}"
GO_0000731,"{'b0231', 'b0472', 'b3700'}"
GO_0000774,{'b2614'}
GO_0000786,{'b3261'}
GO_0000796,"{'b0923', 'b0924', 'b0922'}"
GO_0000810,{'b1278'}
GO_0000820,{'b3053'}
GO_0000900,"{'b3296', 'b1719', 'b1716'}"
GO_0000902,"{'b3251', 'b3730', 'b1176'}"
GO_0000906,{'b0415'}
GO_0000908,{'b0368'}
GO_0000917,"{'b3933', 'b0958', 'b0093', 'b2910', 'b0095', 'b3462', 'b0083', 'b2748', 'b3865', 'b0890', 'b0094', 'b3928', 'b1175', 'b0946', 'b0089', 'b0084', 'b2412', 'b3463', 'b0102', 'b1176'}"
GO_0000918,"{'b1175', 'b1174', 'b3641', 'b1176'}"
GO_0000920,"{'b0890', 'b3613'}"
GO_0000921,{'b2910'}
GO_0000935,"{'b4409', 'b4520', 'b3933', 'b3462', 'b3463', 'b1069'}"
GO_0000967,"{'b2949', 'b1084', 'b3180'}"
GO_0000976,"{'b1320', 'b0683', 'b0464', 'b4479', 'b1399', 'b0272', 'b1507', 'b1563', 'b1564', 'b4046', 'b1221', 'b3934', 'b3405', 'b4043', 'b1237', 'b1130', 'b4327', 'b1040', 'b1508', 'b3973', 'b1334', 'b0487', 'b3261', 'b0064', 'b1620', 'b1712', 'b0081', 'b0889', 'b0069', 'b0315', 'b3202', 'b4401', 'b3481'}"
