,source,target,data_corr,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,n_sources,n_primary_sources,n_references,references_stripped
155972,JUN,STMN1,2.693208,True,True,False,True,True,False,4,CollecTRI:15474303;CollecTRI:17182846;DoRothEA:15474303;TRRUST:15474303,CollecTRI;DoRothEA;ExTRI_CollecTRI;JASPAR_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,transcriptional,7,3,2.0,15474303;17182846
90319,JUN,FOSL2,0.054103345,True,True,False,True,True,False,12,HINT:20102225;HINT:25609649;HINT:26496610;HINT:33961781;HINT:9160889;HPRD:11708771;IntAct:20102225;IntAct:32296183;Lit-BM-17:25609649;Lit-BM-17:26186194;Lit-BM-17:26496610;Lit-BM-17:9160889,HINT;HPRD;HuRI;IntAct;Lit-BM-17;Wang,post_translational,6,6,8.0,11708771;20102225;25609649;26186194;26496610;32296183;33961781;9160889
200317,JUN,FOSL2,0.054103345,True,True,False,True,True,False,1,CollecTRI:7862446,CollecTRI;GEREDB_CollecTRI,transcriptional,2,1,1.0,7862446
113349,JUN,MYC,2.0711715,True,False,True,True,False,True,29,ACSN:11274345;ACSN:11929833;ACSN:15576399;ACSN:15768032;ACSN:15806138;ACSN:16007074;ACSN:16039586;ACSN:16169192;ACSN:16510874;ACSN:17050667;ACSN:17143292;ACSN:17291450;ACSN:17439715;ACSN:18347071;ACSN:18627596;ACSN:19619488;ACSN:19623618;ACSN:20006983;ACSN:20122174;ACSN:20530697;ACSN:20920541;ACSN:21285352;ACSN:21767405;ACSN:22290435;ACSN:22705350;ACSN:22761862;ACSN:23306204;ACSN:23343194;ACSN:8545107,ACSN;Wang,post_translational,2,2,29.0,11274345;11929833;15576399;15768032;15806138;16007074;16039586;16169192;16510874;17050667;17143292;17291450;17439715;18347071;18627596;19619488;19623618;20006983;20122174;20530697;20920541;21285352;21767405;22290435;22705350;22761862;23306204;23343194;8545107
151865,JUN,MYC,2.0711715,True,True,True,True,True,False,9,CollecTRI:14523011;CollecTRI:1774959;CollecTRI:18037408;CollecTRI:20410304;CollecTRI:21607323;CollecTRI:21835891;CollecTRI:2498162;CollecTRI:8276360;TRRUST:2498162,CollecTRI;DoRothEA;ExTRI_CollecTRI;FANTOM4_DoRothEA;IntAct_DoRothEA;NTNU.Curated_CollecTRI;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,transcriptional,11,3,8.0,14523011;1774959;18037408;20410304;21607323;21835891;2498162;8276360
175788,JUN,GSTP1,2.7650223,True,True,False,True,True,False,5,CollecTRI:2112105;CollecTRI:8206948;CollecTRI:8702826;DoRothEA:8206948;TRRUST:8206948,CollecTRI;DoRothEA;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,transcriptional,7,3,3.0,2112105;8206948;8702826
161211,JUN,VIM,2.8436053,True,True,False,True,True,False,7,CollecTRI:14654785;CollecTRI:16831196;CollecTRI:2922288;CollecTRI:7986748;DoRothEA:7986748;ORegAnno:7986748;PAZAR:7986748,CollecTRI;DoRothEA;DoRothEA-A_CollecTRI;ENCODE-proximal;ExTRI_CollecTRI;GEREDB_CollecTRI;ORegAnno;ORegAnno_DoRothEA;PAZAR;RegNetwork_DoRothEA;TFactS_CollecTRI;TFactS_DoRothEA;TRED_DoRothEA;TRRD_DoRothEA,transcriptional,14,5,4.0,14654785;16831196;2922288;7986748
161602,JUN,KRT18,2.7202597,True,True,False,True,True,False,3,CollecTRI:1696235;CollecTRI:18941637;CollecTRI:7526151,CollecTRI;DoRothEA;ExTRI_CollecTRI;RegNetwork_DoRothEA;TRED_DoRothEA,transcriptional,5,2,3.0,1696235;18941637;7526151
141192,SPI1,IL1B,0.0076905703,True,True,False,True,True,False,20,CollecTRI:10328874;CollecTRI:10453013;CollecTRI:10490619;CollecTRI:10801783;CollecTRI:11359842;CollecTRI:11823535;CollecTRI:12061786;CollecTRI:16439360;CollecTRI:17283046;CollecTRI:17386941;CollecTRI:18173740;CollecTRI:18566416;CollecTRI:19423615;CollecTRI:7609733;CollecTRI:7799967;CollecTRI:9360994;CollecTRI:9376596;DoRothEA:17386941;TRRUST:10801783;TRRUST:17386941,ARACNe-GTEx_DoRothEA;CollecTRI;CytReg_CollecTRI;DoRothEA;ENCODE-distal;ExTRI_CollecTRI;JASPAR_DoRothEA;PAZAR_DoRothEA;RegNetwork_DoRothEA;TFe_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,transcriptional,14,4,17.0,10328874;10453013;10490619;10801783;11359842;11823535;12061786;16439360;17283046;17386941;18173740;18566416;19423615;7609733;7799967;9360994;9376596
5361,SPI1,CSF1R,0.042585082,True,True,False,True,True,False,2,SPIKE:8264604;SPIKE_LC:8264604,SPIKE;SPIKE_LC;Wang,post_translational,3,2,1.0,8264604
162135,SPI1,CSF1R,0.042585082,True,True,False,True,True,False,5,CollecTRI:17116688;CollecTRI:8264604;CollecTRI:8302571;CollecTRI:9506963;PAZAR:8264604,ARACNe-GTEx_DoRothEA;CollecTRI;DoRothEA;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;PAZAR;PAZAR_DoRothEA;TFactS_CollecTRI,transcriptional,8,3,4.0,17116688;8264604;8302571;9506963
160849,SPI1,CCL5,0.008264462,True,True,False,True,True,False,4,CollecTRI:10760799;CollecTRI:16707500;DoRothEA:10760799;TRRUST:10760799,CollecTRI;CytReg_CollecTRI;DoRothEA;ExTRI_CollecTRI;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,transcriptional,9,3,2.0,10760799;16707500
148522,SPI1,FCGRT,2.0304964,True,True,False,True,True,False,5,CollecTRI:11971001;CollecTRI:15132949;CollecTRI:15304324;CollecTRI:16428815;CollecTRI:18629488,ARACNe-GTEx_DoRothEA;CollecTRI;DoRothEA;ExTRI_CollecTRI;PAZAR_DoRothEA,transcriptional,5,2,5.0,11971001;15132949;15304324;16428815;18629488
