,source,target,data_corr,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,n_sources,n_primary_sources,n_references,references_stripped
141072,CEBPB,IL6,0.002967359,True,True,True,True,False,True,73,CollecTRI:10435001;CollecTRI:10748205;CollecTRI:10816606;CollecTRI:10903137;CollecTRI:11004486;CollecTRI:11035101;CollecTRI:11114305;CollecTRI:11120852;CollecTRI:11160296;CollecTRI:11250916;CollecTRI:11594800;CollecTRI:11866474;CollecTRI:12177065;CollecTRI:12706815;CollecTRI:12853840;CollecTRI:1327803;CollecTRI:1421375;CollecTRI:1427600;CollecTRI:14530280;CollecTRI:14600152;CollecTRI:15044620;CollecTRI:15389813;CollecTRI:15613028;CollecTRI:15688424;CollecTRI:16784777;CollecTRI:1730090;CollecTRI:17332680;CollecTRI:17955490;CollecTRI:18955501;CollecTRI:19026986;CollecTRI:19632992;CollecTRI:19782405;CollecTRI:20511231;CollecTRI:21069809;CollecTRI:2112087;CollecTRI:21127061;CollecTRI:22074460;CollecTRI:22558159;CollecTRI:22895549;CollecTRI:23361365;CollecTRI:23595969;CollecTRI:23874122;CollecTRI:24012417;CollecTRI:24472318;CollecTRI:25382637;CollecTRI:7543095;CollecTRI:7651415;CollecTRI:7744000;CollecTRI:7744784;CollecTRI:7818522;CollecTRI:7821611;CollecTRI:8234276;CollecTRI:8325885;CollecTRI:8336793;CollecTRI:8346247;CollecTRI:8441418;CollecTRI:8725624;CollecTRI:8752656;CollecTRI:8786324;CollecTRI:8910763;CollecTRI:9182853;CollecTRI:9199508;CollecTRI:9282937;CollecTRI:9312180;CollecTRI:9378980;CollecTRI:9442386;CollecTRI:9516466;CollecTRI:9523851;CollecTRI:9648065;CollecTRI:9661072;TRRUST:10903137;TRRUST:11120852;TRRUST:8725624,CollecTRI;CytReg_CollecTRI;DoRothEA;ExTRI_CollecTRI;HOCOMOCO_DoRothEA;JASPAR_DoRothEA;KEGG-MEDICUS;NTNU.Curated_CollecTRI;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,transcriptional,13,4,70.0,10435001;10748205;10816606;10903137;11004486;11035101;11114305;11120852;11160296;11250916;11594800;11866474;12177065;12706815;12853840;1327803;1421375;1427600;14530280;14600152;15044620;15389813;15613028;15688424;16784777;1730090;17332680;17955490;18955501;19026986;19632992;19782405;20511231;21069809;2112087;21127061;22074460;22558159;22895549;23361365;23595969;23874122;24012417;24472318;25382637;7543095;7651415;7744000;7744784;7818522;7821611;8234276;8325885;8336793;8346247;8441418;8725624;8752656;8786324;8910763;9182853;9199508;9282937;9312180;9378980;9442386;9516466;9523851;9648065;9661072
189455,CEBPB,ADM,0.015367856,True,True,False,True,True,False,6,CollecTRI:12630823;CollecTRI:9480831;DoRothEA:9480831;SIGNOR:9480831;TRRUST:12630823;TRRUST:9480831,CollecTRI;DoRothEA;DoRothEA-A_CollecTRI;ENCODE-distal;ExTRI_CollecTRI;GEREDB_CollecTRI;RegNetwork_DoRothEA;SIGNOR;SIGNOR_CollecTRI;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,transcriptional,13,5,2.0,12630823;9480831
146778,CEBPB,GSTP1,8.2144,True,True,False,True,True,False,3,CollecTRI:11481261;CollecTRI:16431954;CollecTRI:8537397,CollecTRI;ExTRI_CollecTRI,transcriptional,2,1,3.0,11481261;16431954;8537397
139587,CEBPB,DDIT3,3.297503,True,True,False,True,True,False,6,CollecTRI:10085237;CollecTRI:16757577;CollecTRI:8051100;CollecTRI:8662954;DoRothEA:16757577;TRRUST:16757577,CollecTRI;DoRothEA;ENCODE-proximal;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,transcriptional,8,4,4.0,10085237;16757577;8051100;8662954
139590,CEBPB,DDIT3,3.297503,True,True,False,True,True,False,6,CollecTRI:10085237;CollecTRI:16757577;CollecTRI:8051100;CollecTRI:8662954;DoRothEA:16757577;TRRUST:16757577,CollecTRI;DoRothEA;ENCODE-proximal;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,transcriptional,8,4,4.0,10085237;16757577;8051100;8662954
4256,CEBPB,HSP90AA1,8.084925,True,True,False,True,True,False,2,SPIKE:18266962;SPIKE_LC:18266962,SPIKE;SPIKE_LC,post_translational,2,1,1.0,18266962
141100,CEBPB,HSP90AA1,8.084925,True,True,False,True,True,False,2,CollecTRI:10440232;CollecTRI:9880553,CollecTRI;ExTRI_CollecTRI,transcriptional,2,1,2.0,10440232;9880553
151029,CEBPB,BCL2A1,0.031406004,True,True,False,True,True,False,3,CollecTRI:12665576;CollecTRI:18512730;CollecTRI:19489038,CollecTRI;ENCODE-distal;ExTRI_CollecTRI;GEREDB_CollecTRI,transcriptional,4,2,3.0,12665576;18512730;19489038
161544,CEBPB,TRIB3,3.8394043,True,True,False,True,True,False,3,CollecTRI:16949670;CollecTRI:19164449;CollecTRI:21203563,CollecTRI;ENCODE-proximal;ExTRI_CollecTRI;NTNU.Curated_CollecTRI,transcriptional,4,2,3.0,16949670;19164449;21203563
151007,CEBPB,INSR,0.041073363,True,True,False,True,True,False,5,CollecTRI:12665574;CollecTRI:18310298;CollecTRI:8288055;DoRothEA:8288055;TRRUST:8288055,CollecTRI;DoRothEA;ExTRI_CollecTRI;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,transcriptional,8,3,3.0,12665574;18310298;8288055
141689,CEBPB,CEBPA,2.1624765,True,True,False,True,True,False,15,CollecTRI:10603305;CollecTRI:10854425;CollecTRI:15110775;CollecTRI:15158467;CollecTRI:15509789;CollecTRI:16431920;CollecTRI:17301242;CollecTRI:17646392;CollecTRI:18622014;CollecTRI:19581927;CollecTRI:19663997;CollecTRI:20179325;CollecTRI:24216764;CollecTRI:7862113;CollecTRI:9990015,CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TFactS_CollecTRI,transcriptional,4,1,15.0,10603305;10854425;15110775;15158467;15509789;16431920;17301242;17646392;18622014;19581927;19663997;20179325;24216764;7862113;9990015
160967,CEBPB,TGFB1,7.4439716,True,True,False,True,True,False,8,CollecTRI:16735029;CollecTRI:16908841;CollecTRI:16959612;CollecTRI:19014341;CollecTRI:21098707;CollecTRI:21122806;CollecTRI:9199295;CollecTRI:9726249,CollecTRI;DoRothEA;ExTRI_CollecTRI;GEREDB_CollecTRI;RegNetwork_DoRothEA;TRED_DoRothEA,transcriptional,6,2,8.0,16735029;16908841;16959612;19014341;21098707;21122806;9199295;9726249
148759,CEBPA,CEBPE,3.4206698,True,True,False,True,True,False,5,CollecTRI:11278928;CollecTRI:11929766;CollecTRI:12032776;CollecTRI:14636649;CollecTRI:17934488,CollecTRI;DoRothEA;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI;PAZAR_DoRothEA,transcriptional,6,2,5.0,11278928;11929766;12032776;14636649;17934488
